"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",558.601642984542,34.15798698062,16.3534708090811,8.87979355871369e-42
"ghg$runoff",0.837187023439805,0.0492372822980957,17.0031119583581,4.69542403604267e-44
